symptom_keywords,medicine_name,dosage,home_remedy,side_effects
Treatment of Bacterial infections,Erox CV 625 Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Depression Neuropathic painTreatment of Migraine,Eliwel 25mg Tablet,As directed by physician,,Constipation Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Aggressive behavior Nasal congestion stuffy nose Sleepiness Dizziness Headache Decreased libido Nausea Fatigue Confusion Tremors Speech disorder Palpitations Taste change Paresthesia tingling or pricking sensation Abnormality of voluntary movements Loss of accommodation Atrioventricular block Micturition disorders Erectile dysfunction Abnormal E C G Decreased sodium level in blood
 Hormone replacement therapy,Estova 2 Tablet,As directed by physician,,Headache Nausea Breast pain Abdominal cramp Bloating Vaginal spotting Vomiting
Treatment of pelvic pain associated with Endometriosis,Endosis Tablet,As directed by physician,,Headache Acne Breast pain Abnormal menstrual bleeding Weight gain Sleep disorder Nervousness Loss of libido Migraine Gastrointestinal disturbance Hair loss Back pain Breast engorgement Ovarian cysts Hot flushes Vaginal bleeding Asthenic conditions Irritability
 Allergic conditions,Ebal 20 Tablet,As directed by physician,,Sleepiness Headache Dryness in mouth
 Epilepsy/SeizuresPrevention of Migraine Bipolar disorder,Encorate Tablet,As directed by physician,,Headache Dizziness Blurred vision Nausea Vomiting Sleepiness Hair loss Weight gain Tremors Double vision Impaired coordination Weakness Increased appetite Insomnia difficulty in sleeping Abdominal pain Abnormal thoughts Diarrhea Depression Constipation Nystagmus involuntary eye movement Weight loss Bronchitis inflammation of the airways Breathlessness Low blood platelets Hay fever Nervousness Ecchymosis discoloration of the skin resulting from bleeding underneath Flu like symptoms Fever Memory loss Indigestion Infection Peripheral edema
Treatment of Pancreatic enzyme deficiency,Enzar 10000 Capsule,As directed by physician,,Stomach pain Bloating Diarrhea
Treatment of Sneezing and runny nose due to allergies,Ezicas F 360 Nasal Spray,As directed by physician,,Nasal inflammation Headache Nosebleeds Nasal ulceration Breathlessness
Treatment of Heavy menstrual bleedingTreatment of Menstrual pain,Etosys-MF Tablet,As directed by physician,,Nausea Vomiting Heartburn Indigestion Diarrhea Loss of appetite Nasal congestion stuffy nose Headache Tiredness Musculoskeletal bone muscle or joint pain Anemia low number of red blood cells Stomach pain Sinus pain Sinus inflammation
Treatment of Bacterial skin infections,Exel GN Cream,As directed by physician,Burning sensation Stinging sensation Itching,
 Hormone replacement therapyTreatment of Female infertility,Emprogest 8% Vaginal gel,As directed by physician,Vaginal bleeding,
 Nausea Vomiting,EME OD Tablet MD,As directed by physician,,Constipation Headache Diarrhea Dizziness
Treatment and prevention of Blood clots,Enoxarin 40 Injection,As directed by physician,,Bleeding Headache Low blood platelets Increased liver enzymes Anemia low number of red blood cells Fever Injection site pain Breathing problems Edema swelling Diarrhea
 Epilepsy/SeizuresPrevention of Migraine Bipolar disorder,Encorate 300 Tablet,As directed by physician,,Headache Dizziness Blurred vision Nausea Vomiting Sleepiness Hair loss Weight gain Tremors Double vision Impaired coordination Weakness Increased appetite Insomnia difficulty in sleeping Abdominal pain Abnormal thoughts Diarrhea Depression Constipation Nystagmus involuntary eye movement Weight loss Bronchitis inflammation of the airways Breathlessness Low blood platelets Hay fever Nervousness Ecchymosis discoloration of the skin resulting from bleeding underneath Flu like symptoms Fever Memory loss Indigestion Infection Peripheral edema
Treatment of Worm infections,Evimectin-A Tablet,As directed by physician,,Nausea Vomiting Diarrhea Loss of appetite Increased liver enzymes Itching Dizziness Swelling of lymph nodes
Treatment and prevention of Blood clots,Enclex 60 Injection,As directed by physician,,Bleeding Headache Low blood platelets Increased liver enzymes Anemia low number of red blood cells Fever Injection site pain Breathing problems Edema swelling Diarrhea
Treatment of Hypertension (high blood pressure),Eritel-AM Tablet,As directed by physician,,Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Esys-D Capsule SR,As directed by physician,,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
 Pain relief,Etocox 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Treatment of NauseaTreatment of Vomiting,Emigo-MD Tablet,As directed by physician,,Constipation Diarrhea Fatigue Headache
Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,Epofit 10000IU Injection,As directed by physician,,High blood pressure Nausea Vomiting Fever Rash Joint pain Headache Insomnia difficulty in sleeping Chills Cough Bone pain Muscle spasm Dizziness Vascular occlusion Injection site irritation Stomatitis Inflammation of the mouth Weight loss Decreased white blood cell count lymphocytes Increased glucose level in blood Blood clot in the blood vessels
 High cholesterol,Ezentia Tablet,As directed by physician,,Diarrhea Joint pain Sinus inflammation Upper respiratory tract infection Pain in extremity
Treatment of Epilepsy/Seizures,Epitra 500 Tablet,As directed by physician,,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Treatment of Pain due to muscle spasm,Etosaid MR Tablet,As directed by physician,,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
 Pain relief,Etoford 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Treatment of Diabetes,Eglucent Rapid 100IU/ml Solution for Injection,As directed by physician,,Hypoglycemia low blood glucose level
 Pain due to muscle spasm,Etolid-MR Tablet,As directed by physician,,Nausea Vomiting Heartburn Stomach pain epigastric pain Loss of appetite Indigestion Sleepiness
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Esofine 40 Tablet,As directed by physician,,Headache Dryness in mouth Nausea Abdominal pain Constipation Flatulence Diarrhea
Treatment of Acne,Ezanic 20% Gel,As directed by physician,Application site reactions burning irritation itching and redness,
Prevention of Heart attack,Ecosprin Gold  10 Forte Capsule,As directed by physician,,Increased bleeding tendency Abdominal pain Indigestion Bruise Nosebleeds Gastrointestinal bleeding Diarrhea
Treatment of VertigoTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of Short term anxiety,Emidoxyn 5mg Tablet MD,As directed by physician,,Drowsiness Orthostatic hypotension sudden lowering of blood pressure on standing
 Pulmonary arterial hypertension (PAH),Endobloc 5 Tablet,As directed by physician,Peripheral edema Nasal congestion stuffy nose Sinus inflammation Flushing sense of warmth in the face ears neck and trunk,
 Pain relief,Etosaid 90 Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Treatment of Hypertension (high blood pressure),Embeta AM 50 Tablet PR,As directed by physician,,Nausea Slow heart rate Abdominal pain Dizziness Fatigue Sleepiness Ankle swelling Constipation Edema swelling Flushing sense of warmth in the face ears neck and trunk Palpitations Headache Vomiting Visual disturbance Orthostatic hypotension sudden lowering of blood pressure on standing Breathlessness Muscle cramp
 Pain relief,Etoro 90mg Tablet,As directed by physician,,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
 Hypertension (high blood pressure),Eritel-Trio Tablet,As directed by physician,,Ankle swelling Dizziness Nausea Peripheral edema Mood changes Visual disturbance
Treatment of Hypothyroidism,Euthyrox 100 Tablet,As directed by physician,,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
 Rosacea,Erythego Gel,As directed by physician,,Erythema skin redness Dermatitis Skin burn Flushing sense of warmth in the face ears neck and trunk
Treatment of Pain due to muscle spasm,Etowin MR 60mg/4mg Tablet,As directed by physician,,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
 Prevention of Rabies,Equirab 1500 Injection,As directed by physician,,Nausea Acute toxicity Rash Upset stomach
 Cough with mucus,E-Tag Syrup,As directed by physician,,Nausea Diarrhea Vomiting Stomach pain Loss of appetite Constipation Heartburn Increased heart rate Dizziness Headache Rash Hives Itching Drowsiness Tremors Breathing problems Increased white blood cell count Nasal inflammation
Treatment of Hypertension (high blood pressure)Treatment of EdemaTreatment of Heart failure,Eptus 50 Tablet,As directed by physician,,Dizziness Diarrhea Nausea Cough Flu like symptoms Fatigue Increased potassium level in blood Increased creatinine level in blood Headache
 Skin conditions with inflammation & itching,Emcor Cream,As directed by physician,Dryness Irritation,
 Bacterial skin infections,Etan-G Cream,As directed by physician,,Application site reactions burning irritation itching and redness Thinning of skin
 Hypertension (high blood pressure),Espin-AT Tablet,As directed by physician,,Headache Nausea Tiredness Sleepiness Dizziness Palpitations Slow heart rate Abnormal dreams Swelling of legs Cold extremities Flushing sense of warmth in the face ears neck and trunk Constipation Ankle swelling Edema swelling
 Cough,Elriz XL Tablet,As directed by physician,,Upset stomach Dryness in mouth Headache Fatigue Sleepiness Allergic reaction
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Esomac 20 Tablet,As directed by physician,,Headache Dryness in mouth Nausea Abdominal pain Constipation Flatulence Diarrhea
Treatment of Eczema Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders,Entofoam Foam,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Dry eyes,Eco Tears Gel,As directed by physician,,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Treatment of Hypertension (high blood pressure),Efnocar 20 Tablet,As directed by physician,,Headache Palpitations Hot flushes Flushing of face
Treatment of Bacterial infections,Eltocin Tablet,As directed by physician,,Vomiting Nausea Abdominal pain Diarrhea
Treatment of Hypertension (high blood pressure)Treatment of Prevention of heart attack and strokeTreatment of Heart failure,Enapril 5 Tablet,As directed by physician,,Decreased blood pressure Cough Increased potassium level in blood Fatigue Weakness Dizziness
 Bleeding,Ethasyl 250 Tablet,As directed by physician,,Skin rash Vomiting Headache Nausea Diarrhea
 Epilepsy/Seizures,Eslizen 400mg Tablet,As directed by physician,,Sleepiness Blurred vision Nausea Headache Vomiting Double vision Fatigue Balance disorder loss of balance Diarrhea Impaired coordination Vertigo Decreased appetite Decreased sodium level in blood Dizziness
 Hormone replacement therapy,Emgra Tablet,As directed by physician,,Headache Nausea Breast pain Abdominal cramp Bloating Vaginal spotting Vomiting
Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Escigress 10 Tablet,As directed by physician,,Anorgasmia decreased orgasm in women Decreased libido Delayed ejaculation Fatigue Increased sweating Insomnia difficulty in sleeping Nausea Sleepiness
 Heavy menstrual bleeding,Etex-T Tablet,As directed by physician,,Nausea Stomach pain Diarrhea Headache Nasal congestion stuffy nose Sinus pain Sinus inflammation Rash Tiredness Musculoskeletal bone muscle or joint pain Anemia low number of red blood cells
 Chronic hepatitis B virus (HBV) infection,Entehep 0.5 Tablet,As directed by physician,,Headache Nausea Vomiting Fatigue Stomach pain Diarrhea
Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Esipram 10 Tablet,As directed by physician,,Anorgasmia decreased orgasm in women Decreased libido Delayed ejaculation Fatigue Increased sweating Insomnia difficulty in sleeping Nausea Sleepiness
 Pain due to muscle spasm,Etova-MR Forte Tablet,As directed by physician,,Nausea Vomiting Heartburn Stomach pain epigastric pain Loss of appetite Indigestion Sleepiness
Treatment of Hypertension (high blood pressure),Eslo-Tel 2.5mg Tablet,As directed by physician,,Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
